community,volatility_pct,avg_monthly_growth_pct,latest_price_per_sqft,price_2020,total_growth_pct
Al Barsha,0.037282483257380226,0.008071417037291074,384,221,73.7556561085973
Al Barsha South,0.03536826905672382,0.007747753016051308,358,210,70.47619047619047
Al Furjan,0.03987899582618083,0.007457464301740773,374,227,64.75770925110132
Al Mamzar,0.0434486700350347,0.008398221137257685,397,227,74.8898678414097
Al Nahda,0.03385557723329747,0.00784401674346522,281,163,72.39263803680981
Al Qusais,0.03791122966242074,0.008235992829957793,251,143,75.52447552447552
Al Reem,0.044432704300738986,0.007595072427047449,507,309,64.07766990291262
Al Warqa,0.04947958516084113,0.008834233419872413,338,191,76.96335078534031
Arabian Ranches,0.036890456362684655,0.00808061837553727,672,386,74.09326424870466
Arabian Ranches 2,0.045162535360742224,0.008202113103265195,677,395,71.39240506329114
Arabian Ranches 3,0.042083967219506004,0.008200320326809311,697,403,72.95285359801488
Azizi Riviera,0.03410291847313368,0.007846253053713852,529,307,72.3127035830619
Bluewaters Island,0.03634297240275157,0.008374302031625237,1037,582,78.17869415807561
Bukadra,0.03807160660332396,0.007963502842847874,468,272,72.05882352941177
Bulgari Resort,0.03057388247888393,0.007736862035289516,2478,1438,72.32267037552155
Bur Dubai,0.03722412849541255,0.008186322709412636,298,170,75.29411764705883
Business Bay,0.03617242651062756,0.007925661853083214,543,315,72.3809523809524
City Walk,0.0366206938610381,0.008115802164183977,862,494,74.49392712550606
DAMAC Lagoons,0.03734819491923556,0.008483879633369662,439,245,79.18367346938776
DIFC,0.03529220216134262,0.0077134945953117205,1059,623,69.98394863563402
Damac Hills,0.035897926508192714,0.007656948630765228,399,236,69.06779661016948
Damac Hills 2,0.041218334385914226,0.008204306205325697,302,174,73.5632183908046
Deira,0.03353994241887648,0.007640023667661125,282,166,69.87951807228916
Discovery Gardens,0.037006037296853575,0.007342518442016798,252,153,64.70588235294117
Downtown Dubai,0.035751765509975546,0.007798869620475995,872,510,70.98039215686273
Dubai Creek Harbour,0.034964910404355176,0.0073941185506855986,595,358,66.20111731843576
Dubai Festival City,0.03807169632497374,0.007925947770012973,461,269,71.37546468401487
Dubai Harbour,0.03007837229812732,0.007894361730425577,1047,600,74.50000000000001
Dubai Hills Estate,0.038041398740743505,0.008250875332822906,638,363,75.75757575757575
Dubai Investment Park,0.036157151781935695,0.008025459972224794,257,148,73.64864864864865
Dubai Islands,0.03202522792558659,0.008054835989278116,654,372,75.80645161290323
Dubai Marina,0.03717626294050715,0.008033929529295901,681,393,73.28244274809161
Dubai Production City,0.03387518626928135,0.008594616324983357,277,152,82.23684210526316
Dubai Silicon Oasis,0.03993559763176304,0.007844724435807698,295,174,69.54022988505749
Dubai South,0.04300092675134305,0.008881790889448076,225,124,81.4516129032258
Dubai Sports City,0.037028498809263684,0.008274469592817461,293,166,76.50602409638554
Dubai Studio City,0.03873882315092578,0.008306332754169594,280,159,76.10062893081762
Dubailand,0.038128582120065736,0.007887448190066948,253,148,70.94594594594594
Emirates Hills,0.03617931114116935,0.007225857365326557,1229,751,63.648468708388805
Expo City,0.04002408434918972,0.008070274740493969,312,181,72.37569060773481
Falcon City of Wonders,0.038816624284820384,0.00901942325087109,351,189,85.71428571428572
Green Community,0.037712670362468725,0.009078616350690934,393,210,87.14285714285714
International City,0.03942664946366286,0.007477736334860146,185,112,65.17857142857142
Jebel Ali,0.03983756625383956,0.007951032741134312,241,141,70.92198581560282
Jumeirah 1,0.035275044589762716,0.008526628845257518,793,439,80.63781321184511
Jumeirah 2,0.03940369159213012,0.008497504796659757,811,455,78.24175824175825
Jumeirah 3,0.037924570603923805,0.00874297970775111,846,464,82.32758620689656
Jumeirah Bay Island,0.03778053136118383,0.007808558432062697,1683,989,70.17189079878665
Jumeirah Beach Residence,0.03607885098320293,0.008345085353188906,749,421,77.90973871733966
Jumeirah Golf Estates,0.0313510649720298,0.007934602813434307,623,357,74.50980392156863
Jumeirah Islands,0.03782819738305366,0.008598583182692802,833,462,80.3030303030303
Jumeirah Lake Towers,0.0370908754342004,0.008558370863903368,429,238,80.25210084033614
Jumeirah Park,0.03869330063750791,0.00794350903175302,693,404,71.53465346534654
Jumeirah Village Circle,0.03686660266842251,0.008139891085639655,348,199,74.87437185929649
Jumeirah Village Triangle,0.03742371572070947,0.008144128250877616,351,201,74.62686567164178
Karama,0.03942487030361216,0.007895804304227573,300,176,70.45454545454545
La Mer,0.03643464693993318,0.007976392507018565,1075,622,72.82958199356912
Living Legends,0.03924263226661623,0.009099813639371901,388,208,86.53846153846155
Liwan,0.04074789946927518,0.008173751244304221,279,161,73.29192546583852
Madinat Jumeirah Living,0.03271630086109943,0.00706063798906109,983,603,63.018242122719734
Majan,0.03583174539020619,0.008851815106384983,305,165,84.84848484848484
Maritime City,0.04034141085385233,0.008332563473177184,602,343,75.51020408163265
