community,property_type,median_rent_per_sqft,median_price_per_sqft,gross_yield_pct
Dubai South,4BR_villa,16,129,12.40310078
Dubai South,4BR_penthouse,13,108,12.03703704
Dubai South,3BR_villa,13,114,11.40350877
The Valley,5BR_villa,20,180,11.11111111
The Valley,6BR_villa,20,180,11.11111111
International City,4BR_penthouse,13,118,11.01694915
Dubai South,5BR_villa,14,127.5,10.98039216
Dubai South,3BR,13,120.5,10.78838174
Al Barsha,6BR_villa,29,272,10.66176471
Falcon City of Wonders,5BR_villa,21.5,202,10.64356436
The Valley,3BR_villa,20,188,10.63829787
Dubai South,6BR_villa,14,133.5,10.48689139
Damac Hills 2,6BR_villa,19,184,10.32608696
Sustainable City,5BR_villa,28,272,10.29411765
Arabian Ranches 3,6BR_villa,45,443,10.15801354
The Valley,4BR_villa,19.5,192,10.15625
Al Furjan,4BR_penthouse,23,226.5,10.15452539
Sustainable City,4BR_villa,28,276,10.14492754
Falcon City of Wonders,4BR_villa,23,227.5,10.10989011
Al Reem,4BR_villa,34,337,10.08902077
Emirates Hills,6BR_villa,87.5,868,10.08064516
Bluewaters Island,6BR_villa,65.5,651,10.06144393
Green Community,4BR_villa,23,229,10.04366812
Jumeirah Lake Towers,4BR_penthouse,25,249,10.04016064
Expo City,4BR_penthouse,21.5,215,10
Town Square,4BR_penthouse,16,161,9.937888199
The Meadows,6BR_villa,49,494,9.91902834
Al Barsha,3BR_villa,28,282.5,9.911504425
Jumeirah Park,3BR_villa,43,434,9.907834101
Green Community,5BR_villa,24,242.5,9.896907216
Arabian Ranches 2,5BR_villa,45,455,9.89010989
Jumeirah Golf Estates,5BR_villa,41,415,9.879518072
Dubailand,5BR_villa,16,162,9.87654321
Town Square,2BR,16,162,9.87654321
Jebel Ali,4BR_penthouse,15,152,9.868421053
Sustainable City,6BR_villa,27,274,9.854014599
Dubai South,2BR,13,132,9.848484848
Dubai South,studio,13,132,9.848484848
Reem Mira,6BR_villa,22.5,228.5,9.846827133
The Meadows,4BR_villa,47,477.5,9.842931937
Tilal Al Ghaf,5BR_villa,31,315,9.841269841
Town Square,3BR,16,163,9.81595092
Damac Hills,4BR_villa,28,285.5,9.807355517
Living Legends,5BR_villa,28,286,9.79020979
Dubai Islands,6BR_villa,48,490.5,9.785932722
Mirdif,6BR_villa,22.5,230,9.782608696
Expo City,3BR,19,194.5,9.768637532
Jumeirah Islands,5BR_villa,52.5,537.5,9.76744186
Falcon City of Wonders,3BR_villa,22,226.5,9.713024283
Expo City,1BR,20,206,9.708737864
Tilal Al Ghaf,3BR_villa,31,319.5,9.702660407
Reem Mira,4BR_villa,26,268,9.701492537
World Islands,5BR_villa,79.5,820,9.695121951
The Springs,6BR_villa,45.5,470,9.680851064
Liwan,2BR,18,186,9.677419355
Tilal Al Ghaf,6BR_villa,30,310,9.677419355
Arabian Ranches,3BR_villa,42,435,9.655172414
Sustainable City,3BR_villa,26,270,9.62962963
Damac Hills 2,3BR_villa,18,187,9.625668449
Green Community,3BR_villa,23,239,9.623430962
The Meadows,3BR_villa,47,489.5,9.601634321
Arabian Ranches 2,3BR_villa,44.5,464,9.590517241
Jebel Ali,3BR,14,146,9.589041096
Arabian Ranches 3,5BR_villa,45,472.5,9.523809524
Damac Hills 2,5BR_villa,18,189,9.523809524
Dubai South,1BR,12,126,9.523809524
Dubailand,1BR,16,168,9.523809524
Expo City,2BR,20,210,9.523809524
Mira,5BR_villa,24.5,260,9.423076923
The Lakes,5BR_villa,44,467,9.421841542
Remraam,studio,13,138,9.420289855
Jumeirah Islands,4BR_villa,51.5,547,9.414990859
Dubai Investment Park,2BR,16,170,9.411764706
Al Furjan,2BR,25,266,9.398496241
Mira,3BR_villa,25,266.5,9.380863039
Jumeirah Park,4BR_villa,43,458.5,9.378407852
Damac Hills 2,4BR_villa,18,192,9.375
Palm Jumeirah,4BR_villa,78,833.5,9.358128374
DAMAC Lagoons,4BR_villa,27,289,9.342560554
Discovery Gardens,studio,17,182,9.340659341
Jebel Ali,2BR,14,150,9.333333333
Al Furjan,studio,25,268,9.328358209
The Springs,3BR_villa,38.5,413,9.322033898
The Springs,5BR_villa,39,418.5,9.318996416
Dubai Investment Park,3BR,15,161,9.316770186
Arabian Ranches,4BR_villa,40,431,9.280742459
Living Legends,4BR_villa,25,269.5,9.276437848
Living Legends,6BR_villa,25,269.5,9.276437848
Dubailand,3BR_villa,15,162,9.259259259
Green Community,6BR_villa,22.5,243,9.259259259
Dubai Investment Park,1BR,16,173,9.248554913
Dubai Harbour,6BR_villa,79,854.5,9.245172616
Living Legends,3BR_villa,22.5,244,9.221311475
Tilal Al Ghaf,4BR_villa,30,326,9.202453988
Dubai Harbour,3BR_villa,69,751,9.187749667
Arabian Ranches 3,3BR_villa,44,480.5,9.157127992
The Lakes,4BR_villa,43,470,9.14893617
Dubai Production City,studio,15,164,9.146341463
Dubai Hills Estate,4BR_penthouse,39,426.5,9.144196952
Bluewaters Island,4BR_villa,63,690,9.130434783
Mirdif,5BR_villa,22,242.5,9.072164948
Emirates Hills,3BR_villa,82,904,9.07079646
Expo City,studio,19,209.5,9.069212411
Dubai Investment Park,studio,15,165.5,9.063444109
Mudon,6BR_villa,23,254,9.05511811
Bluewaters Island,3BR_villa,62,685,9.051094891
Al Reem,5BR_villa,33,365,9.04109589
Al Furjan,1BR,24,265.5,9.039548023
Al Reem,6BR_villa,32,354,9.039548023
Al Warqa,5BR_villa,22.5,249,9.036144578
Al Barsha South,2BR,21.5,238,9.033613445
Remraam,4BR_penthouse,13,144,9.027777778
Dubai Sports City,4BR_penthouse,16,177.5,9.014084507
Al Furjan,3BR,24,266.5,9.005628518
Jumeirah Village Triangle,3BR,20.5,228,8.99122807
The Springs,4BR_villa,38,423,8.983451537
Al Barsha,5BR_villa,26.5,295,8.983050847
Motor City,3BR,21,234,8.974358974
Mudon,5BR_villa,23,256.5,8.966861598
Dubai Studio City,3BR,16,178.5,8.963585434
Dubailand,3BR,14.5,162,8.950617284
Mudon,4BR_villa,23,257,8.949416342
